date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:11	33208/33208	---M-Z	200	added ('OK')	text/html	etag:W/%22616d019e-81b8%22	https://technext.github.io/edu-meeting/index.html	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/index.html	(from )
15:10:12	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73842c-247b%22	https://technext.github.io/robots.txt		(from )
15:10:12	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%22616d019e-28021%22	https://technext.github.io/edu-meeting/vendor/bootstrap/css/bootstrap.min.css	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/vendor/bootstrap/css/bootstrap.min.css	(from https://technext.github.io/edu-meeting/index.html)
15:10:12	23739/23739	---M-Z	200	added ('OK')	text/css	etag:W/%22616d019e-5cbb%22	https://technext.github.io/edu-meeting/assets/css/fontawesome.css	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/css/fontawesome.css	(from https://technext.github.io/edu-meeting/index.html)
15:10:12	34401/34401	---M-Z	200	added ('OK')	text/css	etag:W/%22616d019e-8661%22	https://technext.github.io/edu-meeting/assets/css/templatemo-edu-meeting.css	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/css/templatemo-edu-meeting.css	(from https://technext.github.io/edu-meeting/index.html)
15:10:13	4743/4743	---M-Z	200	added ('OK')	text/css	etag:W/%22616d019e-1287%22	https://technext.github.io/edu-meeting/assets/css/owl.css	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/css/owl.css	(from https://technext.github.io/edu-meeting/index.html)
15:10:13	3625/3625	---M-Z	200	added ('OK')	text/css	etag:W/%22616d019e-e29%22	https://technext.github.io/edu-meeting/assets/css/lightbox.css	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/css/lightbox.css	(from https://technext.github.io/edu-meeting/index.html)
15:10:13	14596/14596	---M-Z	200	added ('OK')	text/html	etag:W/%22616d019e-3904%22	https://technext.github.io/edu-meeting/meetings.html	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/meetings.html	(from https://technext.github.io/edu-meeting/index.html)
15:10:13	9688/9688	---M-Z	200	added ('OK')	text/html	etag:W/%22616d019e-25d8%22	https://technext.github.io/edu-meeting/meeting-details.html	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/meeting-details.html	(from https://technext.github.io/edu-meeting/index.html)
15:10:15	3530/3530	---M--	200	added ('OK')	image/png	etag:%22616d019e-dca%22	https://technext.github.io/edu-meeting/assets/images/service-icon-01.png	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/service-icon-01.png	(from https://technext.github.io/edu-meeting/index.html)
15:10:15	3600/3600	---M--	200	added ('OK')	image/png	etag:%22616d019e-e10%22	https://technext.github.io/edu-meeting/assets/images/service-icon-02.png	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/service-icon-02.png	(from https://technext.github.io/edu-meeting/index.html)
15:10:15	3263/3263	---M--	200	added ('OK')	image/png	etag:%22616d019e-cbf%22	https://technext.github.io/edu-meeting/assets/images/service-icon-03.png	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/service-icon-03.png	(from https://technext.github.io/edu-meeting/index.html)
15:10:16	23067/23067	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-5a1b%22	https://technext.github.io/edu-meeting/assets/images/meeting-01.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/meeting-01.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:16	24598/24598	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-6016%22	https://technext.github.io/edu-meeting/assets/images/meeting-02.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/meeting-02.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:16	27399/27399	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-6b07%22	https://technext.github.io/edu-meeting/assets/images/meeting-03.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/meeting-03.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:16	42374/42374	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-a586%22	https://technext.github.io/edu-meeting/assets/images/meeting-04.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/meeting-04.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:17	17051/17051	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-429b%22	https://technext.github.io/edu-meeting/assets/images/course-01.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/course-01.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:17	10155/10155	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-27ab%22	https://technext.github.io/edu-meeting/assets/images/course-02.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/course-02.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:17	18908/18908	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-49dc%22	https://technext.github.io/edu-meeting/assets/images/course-03.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/course-03.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:17	13692/13692	---M--	200	added ('OK')	image/jpeg	etag:%22616d019e-357c%22	https://technext.github.io/edu-meeting/assets/images/course-04.jpg	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/course-04.jpg	(from https://technext.github.io/edu-meeting/index.html)
15:10:18	2207/2207	---M--	200	added ('OK')	image/png	etag:%22616d019e-89f%22	https://technext.github.io/edu-meeting/assets/images/play-icon.png	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/play-icon.png	(from https://technext.github.io/edu-meeting/index.html)
15:10:18	86926/86926	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-1538e%22	https://technext.github.io/edu-meeting/vendor/jquery/jquery.min.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/vendor/jquery/jquery.min.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73d2f6-247b%22	https://technext.github.io/edu-meeting/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:18	119983/119983	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-1d4af%22	https://technext.github.io/edu-meeting/assets/js/isotope.min.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/isotope.min.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:19	89991/89991	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-15f87%22	https://technext.github.io/edu-meeting/assets/js/owl-carousel.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/owl-carousel.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:19	18410/18410	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-47ea%22	https://technext.github.io/edu-meeting/assets/js/lightbox.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/lightbox.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:19	469356/469356	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-7296c%22	https://technext.github.io/edu-meeting/assets/js/tabs.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/tabs.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:19	20810/20810	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-514a%22	https://technext.github.io/edu-meeting/assets/js/video.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/video.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:19	84264/84264	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-14928%22	https://technext.github.io/edu-meeting/assets/js/slick-slider.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/slick-slider.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:20	8782/8782	---M-Z	200	added ('OK')	application/javascript	etag:W/%22616d019e-224e%22	https://technext.github.io/edu-meeting/assets/js/custom.js	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/js/custom.js	(from https://technext.github.io/edu-meeting/index.html)
15:10:20	6129513/6129513	---M--	200	added ('OK')	video/mp4	etag:%22616d019e-5d8769%22	https://technext.github.io/edu-meeting/assets/images/course-video.mp4	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/images/course-video.mp4	(from https://technext.github.io/edu-meeting/index.html)
15:10:20	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d019e-ed5f%22	https://technext.github.io/edu-meeting/assets/fonts/fontawesome-webfont.eot?v=4.3.0	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/fonts/fontawesome-webfonte0a5.eot	(from https://technext.github.io/edu-meeting/assets/css/fontawesome.css)
15:10:20	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d019e-ed5f%22	https://technext.github.io/edu-meeting/assets/fonts/fontawesome-webfont.eot?	C:/Users/EKF/Downloads/newProject/technext.github.io/edu-meeting/assets/fonts/fontawesome-webfontd41d.eot	(from https://technext.github.io/edu-meeting/assets/css/fontawesome.css)
